Country,CountryCode,Region,Continent,GDP,GDP_perCapita,lifeExpectancy
Afghanistan,AFG,Asia | South & West,Asia,15936784437.22,561.2,59.60009756
Albania,ALB,Europe | South & East,Europe,11926957254.63,4094.36,76.9785122
Algeria,DZA,Africa | North & East,Africa,161207304960.46,4349.57,70.61660976
Angola,AGO,Africa | South & West,Africa,82470894868.33,4218.65,50.65417073
Antigua and Barbuda,ATG,America | North & Central,Americas,1135539037.04,13017.31,75.33390244
Argentina,ARG,America | South,Americas,462703793707.19,11460.38,75.66356098
Armenia,ARM,Asia | South & West,Asia,9260287416.06,3124.78,74.21965854
Aruba,ABW,America | North & Central,Americas,2467703910.61,24289.14,74.95202439
Australia,AUS,Oceania,Oceania,1141267760188.09,51800.93,81.69512195
Austria,AUT,Europe | North & West,Europe,389656071767.18,46590.61,80.5804878
Azerbaijan,AZE,Asia | South & West,Asia,52902703376.11,5842.81,70.45029268
"Bahamas, The",BHS,America | North & Central,Americas,7910000000,21941.87,74.59239024
Bahrain,BHR,Asia | South & West,Asia,25713544824.94,20545.97,76.26485366
Bangladesh,BGD,Asia | South & West,Asia,115279077465.23,762.8,69.48580488
Barbados,BRB,America | North & Central,Americas,4433700000,15812.28,74.80178049
Belarus,BLR,Europe | South & East,Europe,55220932613.96,5818.85,70.40487805
Belgium,BEL,Europe | North & West,Europe,484404271608.09,44358.26,80.23414634
Belize,BLZ,America | North & Central,Americas,1397113450,4527.34,73.2704878
Benin,BEN,Africa | South & West,Africa,6561782312.62,690,58.74668293
Bermuda,BMU,America | North & Central,Americas,5744414000,88207.33,79.28853659
Bhutan,BTN,Asia | South & West,Asia,1585396256.12,2211.34,67.00468293
Bolivia,BOL,America | South,Americas,19649631308.16,1934.67,66.31970732
Bosnia and Herzegovina,BIH,Europe | South & East,Europe,16847493058.85,4380.6,75.80668293
Botswana,BWA,Africa | South & West,Africa,13746712711.21,6980.36,46.44029268
Brazil,BRA,America | South,Americas,2143067871759.89,10978.26,73.07531707
Brunei Darussalam,BRN,Asia | East & Central,Asia,12369708858.9,30880.34,77.98865854
Bulgaria,BGR,Europe | South & East,Europe,48669060511.71,6580.81,73.51219512
Burkina Faso,BFA,Africa | South & West,Africa,8992678844.36,578.67,55.0067561
Burundi,BDI,Africa | North & East,Africa,2026864414.47,219.53,52.62402439
Cabo Verde,CPV,Africa | South & West,Africa,1664310632.51,3413.26,73.85697561
Cambodia,KHM,Asia | East & Central,Asia,11242266333.93,782.62,70.64336585
Cameroon,CMR,Africa | South & West,Africa,23622482954.8,1145.37,53.69482927
Canada,CAN,America | North & Central,Americas,1614072093764.07,47465.35,80.8934878
Central African Republic,CAF,Africa | South & West,Africa,1986014759.2,456.56,48.09873171
Chad,TCD,Africa | South & West,Africa,10657705536.5,909.3,49.76985366
Chile,CHL,America | South,Americas,217501911333.71,12681.77,79.05046341
China,CHN,Asia | East & Central,Asia,5930502270312.98,4433.34,74.88502439
Colombia,COL,America | South,Americas,287018184637.53,6179.77,73.36768293
Comoros,COM,Africa | North & East,Africa,516962949.5,756.81,60.20341463
"Congo, Rep.",COG,Africa | South & West,Africa,12007880067.44,2920.41,57.20402439
Costa Rica,CRI,America | North & Central,Americas,36298327669.9,7773.19,79.27970732
Cote d'Ivoire,CIV,Africa | South & West,Africa,24884503950.68,1311.33,49.67529268
Croatia,HRV,Europe | South & East,Europe,59643818181.82,13500.85,76.47560976
Cuba,CUB,America | North & Central,Americas,64328220000,5701.96,78.71778049
Cyprus,CYP,Asia | South & West,Asia,23132450331.13,27889.04,79.30982927
Czech Republic,CZE,Europe | South & East,Europe,207016402026.36,19764.02,77.42439024
Denmark,DNK,Europe | North & West,Europe,319812413596.9,57647.93,79.1
Djibouti,DJI,Africa | North & East,Africa,1128611700.36,1353.19,60.29119512
Dominican Republic,DOM,America | North & Central,Americas,53042943731.14,5295.4,72.79214634
Ecuador,ECU,America | South,Americas,69555367000,4636.69,75.64770732
"Egypt, Arab Rep.",EGY,Africa | North & East,Africa,218887812549.85,2803.53,70.45082927
El Salvador,SLV,America | North & Central,Americas,21418300000,3444.46,71.63441463
Equatorial Guinea,GNQ,Africa | South & West,Africa,11582917790.3,16638.13,51.53307317
Eritrea,ERI,Africa | North & East,Africa,2117039510.7,368.75,61.18509756
Estonia,EST,Europe | North & West,Europe,19479012423.35,14629.65,75.42926829
Ethiopia,ETH,Africa | North & East,Africa,29933790334.34,343.69,61.46795122
Fiji,FJI,Oceania,Oceania,3140508835.95,3649.38,69.38231707
Finland,FIN,Europe | North & West,Europe,247799815768.48,46202.42,79.87073171
France,FRA,Europe | North & West,Europe,2646837111794.78,40706.08,81.66341463
